year,geo_code,geo_level,FSA,GNR,GNR_LF,data_quality_flag,alt_geo_code,pop_2016,num_private_dwellings,num_dwellings_occupied,pct_age_0_14,pct_age_15_64,pct_age_64_plus,median_age,avg_household_size,avg_census_family_size,median_income_recipients,median_income_household,pct_LIM_AT,pct_LIM_AT_age_under18,pct_LIM_AT_age_under6,pct_LIM_AT_age_18_64,pct_LIM_AT_age_65_plus,pct_participation_rate,pct_employed,pct_unemployed,pct_cdn_citizens,pct_immigrants,pct_aboriginal,pct_visible_minority,pct_home_owners,pct_home_rent,pct_education_none,pct_education_uni_higher,pct_non_movers
2016,A0A,2,A0A,4.2,9.1,0,01A0A,46587,26155,19426,14.3,64.3,21.3,48.5,2.4,2.7,29545,63866,17,19.6,19.4,13.2,26,54.4,45.5,16.4,0.995087873,0.01058952,0.015611354,0.005348761,0.861319534,0.138680466,0.165772212,0.64028777,0.932070902
2016,A0B,2,A0B,4.1,10.1,10,01A0B,19792,13658,8792,10.6,62.3,27.1,54.2,2.2,2.6,27561,59154,16.5,16.6,16.4,11.6,27.8,51.6,42.1,18.5,0.995664371,0.010714286,0.016581633,0.007142857,0.891784703,0.107648725,0.204898728,0.356321839,0.931370038
2016,A0C,2,A0C,4.1,8.6,0,01A0C,12587,8010,5606,11.2,63.1,25.8,53.1,2.2,2.5,25030,52112,20.5,23.2,22.8,15.9,30.6,52.4,38.4,26.8,0.995108031,0.010191602,0.011822258,0.003668977,0.871055005,0.128043282,0.243440233,0.248502994,0.939319393
2016,A0E,2,A0E,4.2,8.1,0,01A0E,22294,12293,9603,12.3,64.1,23.6,51,2.3,2.6,26707,60954,17.1,18.9,21.1,12.2,29.1,51.3,39.2,23.5,0.995240254,0.008159565,0.01586582,0.006799637,0.868818324,0.131181676,0.227254182,0.317773788,0.93020073
2016,A0G,2,A0G,4.4,7.8,0,01A0G,35266,21750,15200,11.8,61.9,26.3,52.8,2.3,2.5,24770,53342,20.7,20.8,23.6,15.2,33.5,49.2,35.7,27.5,0.995379729,0.007075812,0.04562518,0.005487365,0.882198091,0.117472853,0.280785563,0.224952741,0.932742592
2016,A0H,2,A0H,4.2,8.8,0,01A0H,17804,9928,7651,12.1,64.1,23.9,51.6,2.3,2.6,24761,52847,22.8,28.9,32.6,17.7,31.5,50.1,37.5,25.2,0.997482517,0.006713287,0.101566872,0.005595971,0.82253886,0.17357513,0.277497477,0.232727273,0.93410307
2016,A0J,2,A0J,4.7,7.6,0,01A0J,7880,4813,3426,11.3,62.1,26.6,52.9,2.2,2.5,23604,52352,21.2,22.4,27.1,15.2,35,47,33.8,28,0.997387329,0.005225343,0.020887728,0.003265839,0.822580645,0.175953079,0.268620269,0.268181818,0.92519685
2016,A0K,2,A0K,4.6,8.2,0,01A0K,26058,15159,11090,11.5,64.4,24.1,51.8,2.3,2.6,27044,60533,17.4,16.1,17.5,10.3,36.9,53.5,34.1,36.3,0.991847826,0.010675466,0.171583851,0.009899068,0.894499549,0.105951307,0.287396122,0.275903614,0.936352987
2016,A0L,2,A0L,4.5,8.8,0,01A0L,7643,3769,3178,14.1,65.6,20.4,48.3,2.4,2.6,32248,69449,13.2,14.7,14.5,8.7,25.8,55.6,43.8,21.1,0.992875648,0.014896373,0.301813472,0.001943005,0.879069767,0.124031008,0.190532544,0.726708075,0.916939176
2016,A0M,2,A0M,5.1,10.7,10,01A0M,6200,3247,2769,12.1,62.7,25.2,52.6,2.2,2.5,27168,57165,16.6,17.8,22.6,11.9,27.8,51.5,37.3,27.8,0.997572816,0.003236246,0.048582996,0.006472492,0.831842576,0.169946333,0.282234957,0.314720812,0.932355338
2016,A0N,2,A0N,4.9,9.5,0,01A0N,13815,8027,6370,11.3,63.5,25.2,53.2,2.1,2.5,22744,42787,29.9,38.6,38.8,24.4,38.5,43.9,30.9,29.6,0.997416974,0.007008484,0.367158672,0.003690037,0.847310127,0.152689873,0.295822102,0.232346241,0.927272727
2016,A0P,2,A0P,7.3,7.9,101,01A0P,13721,5123,4677,21.9,68.7,9.4,34.5,2.9,3,39631,99631,10.6,13,14.4,9.3,14.2,67.4,57.6,14.7,0.977744807,0.027818991,0.652077151,0.025222552,0.622459893,0.288770053,0.230614973,0.594202899,0.893152746
2016,A0R,2,A0R,2.5,4.5,0,01A0R,2543,1293,966,21.4,71.5,7.1,35.4,2.6,2.9,58816,130048,2.8,3.1,4.4,2.1,5.6,73.3,66.8,8.9,0.978303748,0.031558185,0.138067061,0.025590551,0.611398964,0.388601036,0.033898305,3.3,0.894
2016,A1A,2,A1A,3.4,3.6,0,01A1A,30382,13545,12663,15.5,65.9,18.6,42.7,2.4,2.8,41350,83560,11,15.2,19.4,10.3,9.1,63.8,58.5,8.3,0.945588482,0.086388749,0.026117529,0.094759752,0.682320442,0.317679558,0.052519733,8.208092486,0.876855601
2016,A1B,2,A1B,4.4,8,1,01A1B,19867,10051,8653,12.6,72.6,14.8,33,2.2,2.7,28787,61043,23.3,31.6,32.9,23.6,12.4,62.7,55.4,11.7,0.888514389,0.085040187,0.042271784,0.128856624,0.501454334,0.498545666,0.093056895,4.471502591,0.772715371
2016,A1C,2,A1C,4.4,7.5,1,01A1C,12712,7438,6453,9.6,75.9,14.5,39.1,1.9,2.5,28938,52608,24.3,35.9,35.6,23.1,21.7,64.3,57.7,10.3,0.933675484,0.068693249,0.030398737,0.070272404,0.513782542,0.486217458,0.110571081,3.648351648,0.790187475
2016,A1E,2,A1E,3.8,6.5,0,01A1E,27115,13704,12553,12,68.7,19.3,45.1,2.1,2.6,33574,61758,17.1,27.2,28.8,14.9,16.4,60.4,55.2,8.7,0.965318991,0.044872983,0.025593472,0.040608196,0.580798104,0.419201896,0.115272845,2.476190476,0.862488307
2016,A1G,2,A1G,4.1,4.7,0,01A1G,5777,2646,2483,15,69.9,15.1,41.3,2.3,2.7,39026,73927,10.4,12.2,12.9,9.3,13.3,67.4,61.5,8.6,0.991189427,0.012334802,0.039647577,0.014096916,0.714574899,0.287449393,0.069423929,3.234042553,0.885918004
